feature,retinal_mean,retinal_std,crack_mean,crack_std,mannwhitney_U,p_value,cliffs_delta,cohens_d,n_retinal,n_crack,p_corrected,significant,abs_cohens_d
h1_persistence_entropy,3.33807057139659,0.6328339322424213,0.12111065413859332,0.35220660085005623,6643.0,4.9290359181964565e-30,1.0,6.28168558923157,73,91,9.365168244573267e-29,True,6.28168558923157
total_h1_persistence,765.3816845988574,216.401902874465,4.8754959879340705,14.548299902747878,6643.0,5.065286534613808e-30,1.0,4.958809930044873,73,91,9.624044415766235e-29,True,4.958809930044873
max_h1_persistence,77.74678739782883,24.258231346385394,3.606423163152003,10.320728878916547,6628.0,9.119752563063584e-30,0.9954839680867078,3.97725832465421,73,91,1.7327529869820809e-28,True,3.97725832465421
n_h1_features,56.9041095890411,25.240600221535523,0.6483516483516484,1.5302405502521952,6643.0,4.89529894437389e-30,1.0,3.146194965842565,73,91,9.301067994310392e-29,True,3.146194965842565
n_h1_significant,30.10958904109589,14.620725057864128,0.5164835164835165,1.1191528280369274,6642.5,4.921125396393363e-30,0.9998494656028902,2.854092381804878,73,91,9.35013825314739e-29,True,2.854092381804878
mean_h1_persistence,15.357002274092073,5.055854744645633,2.349516172283673,6.842889337415322,6220.0,2.97965913046453e-23,0.8726479000451604,2.16211442467331,73,91,5.661352347882607e-22,True,2.16211442467331
graph_density,0.004268826703988223,0.004100488491281906,0.2090451441893482,0.22492374906278953,0.0,4.086867935658609e-31,-1.0,-1.2873221891545097,73,118,7.765049077751357e-30,True,1.2873221891545097
assortativity,0.3106895500093637,0.2880856233431711,-0.010999711344214201,0.2579308713372932,6047.0,1.6406645442918774e-10,0.5629361592142672,1.1765205173470488,73,106,3.117262634154567e-09,True,1.1765205173470488
cyclomatic_normalized,0.2641497884998388,0.03195590475108696,0.1851722109830248,0.09477489097221987,6904.5,2.5777643785132192e-12,0.6030879962851172,1.1167184476534446,73,118,4.897752319175117e-11,True,1.1167184476534446
p_deg4,0.11476459208031006,0.027895822345387632,0.07101999638163484,0.06429797971753944,6312.5,5.7989721862476984e-08,0.4656373345716276,0.882657528132707,73,118,1.1018047153870628e-06,True,0.882657528132707
avg_degree,2.463381711362904,0.37397730968929666,2.0876709719293194,0.519916791777151,6151.0,6.792951242606484e-07,0.4281402368237752,0.8296317000223272,73,118,1.290660736095232e-05,True,0.8296317000223272
avg_clustering,0.24521531834106317,0.06439369354891235,0.18164204689741353,0.09612097931857884,6021.0,3.883799459906923e-06,0.39795681448804276,0.7770832496142359,73,118,7.379218973823154e-05,True,0.7770832496142359
mean_edge_length,15.134676783955882,8.251533228599177,69.64959153487924,103.46942847194107,1074.0,3.115854681910098e-18,-0.7506384954724866,-0.7427482535721582,73,118,5.920123895629186e-17,True,0.7427482535721582
junction_ratio,0.663629984219462,0.17533064455751962,0.5158133871952214,0.23296714111416275,5937.5,1.125428898415215e-05,0.37856977014162996,0.7169545654052331,73,118,0.00021383149069889086,True,0.7169545654052331
degree_entropy,0.9393382691407257,0.07368781770727892,0.7791010461480489,0.30858101934396454,5850.0,3.2433236046717084e-05,0.3582540051079637,0.7142773869044867,73,118,0.0006162314848876246,True,0.7142773869044867
mean_euclidean_ratio,0.9419207416408865,0.02300413456761886,0.9900613250364311,0.10549495291103426,2266.0,3.8773313380901104e-08,-0.47387973067100064,-0.630532288550326,73,118,7.36692954237121e-07,True,0.630532288550326
p_deg3,0.5357620378245476,0.15397332498779503,0.42399326339190163,0.20150289994116535,5737.0,0.00011725922524911753,0.3320176456930579,0.6232928833646698,73,118,0.002227925279733233,True,0.6232928833646698
p_deg2,0.0018693984292477957,0.0025786381795706173,0.019147052156387102,0.06721530717156078,5908.5,1.8714448997551636e-07,0.3718365451590435,-0.3632555151931844,73,118,3.5557453095348107e-06,True,0.3632555151931844
largest_component_ratio,0.7727073106358469,0.2243940270212681,0.8056492282499282,0.22512962312895837,3343.0,0.008569957030194775,-0.22382168562804738,-0.14656347223409832,73,118,0.16282918357370071,False,0.14656347223409832
